"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"346",2021-02-09,9.25,8.92857142857143,5.21428571428571,19.0714285714286,3.03571428571429,14.5045045045045,16.4234234234234,9.6036036036036,26.3153153153153,5.30630630630631,21.6666666666667,18.3333333333333,12.3333333333333,38,5.66666666666667
"347",2021-02-10,9.07142857142857,9.57142857142857,5.57142857142857,16.4642857142857,3.82142857142857,15.4864864864865,16.1621621621622,9.35135135135135,27.6576576576577,5.42342342342342,20.6666666666667,16.6666666666667,13.3333333333333,33.3333333333333,3
"348",2021-02-11,8.60714285714286,10.1785714285714,5.32142857142857,16.6071428571429,3.46428571428571,14.3963963963964,16.1711711711712,9.23423423423423,27.1801801801802,5.27927927927928,18,25,12.3333333333333,33,6.33333333333333
"349",2021-02-12,8.85714285714286,10.1428571428571,5.71428571428571,16.4642857142857,3.14285714285714,13.8738738738739,16.8378378378378,9.89189189189189,26.963963963964,4.86486486486486,19.3333333333333,16.3333333333333,13,28.6666666666667,2.66666666666667
"350",2021-02-13,8.78571428571429,10.1785714285714,5.17857142857143,15.0714285714286,3.28571428571429,14.2792792792793,16.7747747747748,9.36036036036036,26.4594594594595,5.32432432432432,15,17.6666666666667,13,29.3333333333333,4.33333333333333
"351",2021-02-14,9.42857142857143,9.78571428571429,5.64285714285714,15.7857142857143,3.67857142857143,13.6756756756757,15.4234234234234,8.90990990990991,25.3153153153153,5.06306306306306,16,17.6666666666667,9.66666666666667,32.6666666666667,6
"352",2021-02-15,8.53571428571429,10.6071428571429,5.78571428571429,16.25,3.25,14.4864864864865,15.1621621621622,8.77477477477477,26.3603603603604,4.63063063063063,12.3333333333333,19.6666666666667,9,29.3333333333333,6.33333333333333
"353",2021-02-16,8.78571428571429,10.5357142857143,5.57142857142857,17.6428571428571,2.92857142857143,14.3603603603604,15.3963963963964,9.30630630630631,26.3783783783784,4.64864864864865,15.3333333333333,15.3333333333333,9,31.3333333333333,3
"354",2021-02-17,9.53571428571429,10.1428571428571,5.5,16.0714285714286,3.17857142857143,14.2252252252252,15.5045045045045,9.27027027027027,26.5585585585586,4.76576576576577,15.3333333333333,11.6666666666667,10,29.6666666666667,2.33333333333333
"355",2021-02-18,8.85714285714286,10.2142857142857,5.32142857142857,17,4.10714285714286,13.972972972973,15.4414414414414,8.63963963963964,25.8198198198198,4.93693693693694,15,11,11.3333333333333,30,7.33333333333333
"356",2021-02-19,9.14285714285714,10.1785714285714,6.46428571428571,16.4285714285714,3.03571428571429,13.9459459459459,14.9459459459459,8.38738738738739,25.2612612612613,4.69369369369369,13.3333333333333,14.3333333333333,8.33333333333333,21.6666666666667,5.66666666666667
"357",2021-02-20,8.42857142857143,10.5714285714286,6.14285714285714,15.1071428571429,3.14285714285714,13.5675675675676,15.5945945945946,8.36036036036036,25.6126126126126,4.97297297297297,14.6666666666667,13,7,27,5.33333333333333
"358",2021-02-21,7.42857142857143,8.85714285714286,5.32142857142857,15.9642857142857,3.21428571428571,13.1981981981982,14.3243243243243,8.38738738738739,24.2072072072072,4.61261261261261,12,14.3333333333333,6.33333333333333,28,3.66666666666667
"359",2021-02-22,9.03571428571429,8.89285714285714,4.64285714285714,16.3214285714286,3.14285714285714,13.4324324324324,14.1621621621622,8.5045045045045,23.5495495495495,4.55855855855856,9.33333333333333,10.6666666666667,10,30.3333333333333,3
"360",2021-02-23,8.46428571428571,9.89285714285714,6.28571428571429,15.25,3.46428571428571,12.8468468468468,13.8828828828829,8.23423423423423,23.3963963963964,4.31531531531532,12,10.3333333333333,10,24.3333333333333,2.66666666666667
"361",2021-02-24,9.96428571428571,9.89285714285714,4.60714285714286,15.8214285714286,3.17857142857143,13.1171171171171,13.7387387387387,8.21621621621622,23.9189189189189,4.16216216216216,14,15,5.33333333333333,19.6666666666667,4
"362",2021-02-25,8.57142857142857,8.53571428571429,5.46428571428571,15.7142857142857,2.67857142857143,12.2072072072072,12.7297297297297,7.88288288288288,22.4504504504505,4.32432432432432,10.6666666666667,12.3333333333333,9,20.6666666666667,5
